id,slug,gene name,gene family,description,automated?
4d90d18fdcdd5f44a500002d,art-informel,Art Informel,Styles and Movements,"Coined by the French critic Michel Tapié in 1950 to refer to an influential European movement that during the 1950s paralleled [Abstract Expressionism](/gene/abstract-expressionism) in the U.S. Like its American counterpart, Art Informel is expressive, artist-oriented abstraction rooted in the works of [Wassily Kandsinky](/artist/wassily-kandinsky), [Paul Klee](/artist/paul-klee), [Jean Dubuffet](/artist/jean-dubuffet), and Surrealist automatism. Note: This category also contains Tachiste works.",FALSE
4d90d18edcdd5f44a5000010,painting,Painting,Medium and Techniques,"_""Painting completed my life.""—[Frida Kahlo](/artist/frida-kahlo)_

Painting—for many, the answer to the question ""What is art?""—could be as old as humanity itself. Practiced across virtually all cultures, it is our primary visual record of the world, and as such has a history of incredible complexity. Important touchpoints include the traditional Western emphasis on illusionism; the difference between figuration and abstraction; the rise of oil painting; and the significant art-historical movements in which painting was central, such as the [Renaissance](/gene/renaissance), the [Baroque](/gene/baroque), [Impressionism](/gene/impressionism), [Cubism](/gene/cubism), and [Abstract Expressionism](/gene/abstract-expressionism).",FALSE
4d90d190dcdd5f44a5000047,futurism,Futurism,Styles and Movements,"Futurism began with the 1909 publication of [F.T. Marinetti](/artist/filippo-tommaso-marinetti)’s _Futurist Manifesto_, which announced a new literature that would glorify danger, energy, and war. While best known for a dynamic style in painting and sculpture that captured speed and movement as if in time-lapse, Futurist artists created “total works of art” (performance, installation, fashion, and more). Though many leading Futurists died in World War I, a “second Futurism” followed, which allied itself with the fascist politics of Mussolini.",FALSE
4d90d18edcdd5f44a5000013,sculpture,Sculpture,Medium and Techniques,"_“Sculpture is the art of the hole and the lump.” —[Auguste Rodin](/artist/auguste-rodin)_

From the Parthenon frieze and the Easter Island _maoi_ to the Chinese Terracotta Warriors and the prehistoric _Venus of Willendorf_, sculpture is a medium as diverse as it is ancient. Traditionally worked in natural materials like stone, clay, and metal, sculpture encompasses both free-standing works “in-the-round” and reliefs, often serving as architectural elements. Sharing the viewer’s space more literally than any other medium, sculpture has given rise to some of the most iconic works in art history, including the classical Greek _Venus de Milo_ (c. 130-100 B.C.), [Michelangelo](/artist/michelangelo-buonarroti)’s [High Renaissance](/gene/high-renaissance) _David_ (1504), Rodin’s _The Thinker_ (1902), and [Constantin Brancusi](/artist/constantin-brancusi)’s [_The Kiss_](/artwork/constantin-brancusi-the-kiss-le-baiser) (1908). The 20th century saw the explosion of traditional sculpture, wherein virtually any material—like [John Chamberlain](/artist/john-chamberlain)’s car parts or [Marcel Duchamp](/artist/marcel-duchamp)’s readymades—could be used, as well as the rise of such diverse movements as [kinetic sculpture](/gene/kinetic-sculpture), sound sculpture, environmental art, and [Minimalist](/gene/minimalism) sculpture.",FALSE
4d90d18edcdd5f44a5000012,photography,Photography,Medium and Techniques,"_""Photography helps people to see.""  —[Berenice Abbott](/artist/berenice-abbott)_

Arguably the most popular medium in contemporary art, photography was invented in 1839. Since then, its various forms and styles have increased almost exponentially—longstanding approaches to the medium range from [documentary photography](/gene/documentary-photography) and [photojournalism](/gene/photojournalism) to [photo-abstraction](/gene/abstract-photography). At the same time, every age seems to come with its own photographic movements, and the past century has seen the influential rise of [Modern Photography](/gene/modernist-photography), [New American Color Photography](/gene/new-american-color-photography), [Diaristic Photography](/gene/diaristic), and the [Dusseldorf School](/gene/dusseldorf-school-of-photography), among countless other styles and groups.
",TRUE
4d90d190dcdd5f44a500003d,constructivism,Constructivism,Styles and Movements,"A 20th-century movement in painting, sculpture, photography, design, and architecture that began in Russia in the late teens and quickly reached an international audience. Its antecedents were [Cubism](/gene/cubism) and the [Futurism](/gene/futurism) exemplified in [Vladimir Tatlin’s](/artist/vladimir-tatlin) 1913 reliefs and three-dimensional geometric constructions. Influenced by Tatlin’s ideas—as well as by the optimism and confidence inspired by the Russian Revolution—such artists as [El Lissitzsky](/artist/el-lissitzky) and [Alexsandr Rodchenko](/artist/alexander-rodchenko) sought to ‘construct’ works that combined geometric compositions with images from modern technology and industry, considering themselves ‘artist-engineers.’ ",FALSE
4d90d191dcdd5f44a500004a,gutai,Gutai,Styles and Movements,"The Gutai Group was one of the most important artist collectives in postwar Japan. Founded by Yoshihara Jirō in 1954 near Osaka, its name translates as “concrete,” a reflection of the artists’ desire to push beyond the abstract painting of the day with experiments in pure materiality. Using everything from mud and Elmer’s glue to plastic tubing and sound art, these artists strove to create new, vital experiences that blurred the boundaries between art and life. Early experiments, such as [Kazuo Shiraga](/artist/kazuo-shiraga)’s calligraphic paintings made by smearing paint around on a canvas, evoking the gestural abstraction of [Jackson Pollock](/artist/jackson-pollock) or [Art Informel](/gene/art-informel), were soon followed by an emphasis on performances, immersive installations, and video. For a nation recently defeated in World War II and emerging from the shadow of totalitarianism, Gutai’s call for vitality, play, and new artistic frontiers served as a jolt to a culture of consensus. The group actively promoted itself abroad through the distribution of mail art and a well-circulated journal, and in 1958 prominent New York dealer Martha Jackson staged an exhibition of their work. Gutai’s focus on performance and materiality has often been cited as a precursor to [Arte Povera](/gene/arte-povera) and [performance art](/gene/performance-art) of the 1960s.",FALSE
4d90d191dcdd5f44a500005c,nouveau-realisme,Nouveau Réalisme,Styles and Movements,"A movement founded in France in 1960 by the art critic Pierre Restany as a response to American [Neo-Dada](/gene/neo-dada) and [Pop art](/gene/pop-art). Nouveau Réalistes, including most prominently [Yves Klein](/artist/yves-klein), worked in a wide variety of forms, including painting, collage, assemblage, happenings, and installation.",FALSE
4d90d192dcdd5f44a5000065,post-impressionism,Post-Impressionism,Styles and Movements,"A movement primarily centered on four artists—[Pa​​ul Gauguin](/artist/paul-gauguin), [Georges Seurat](/artist/georges-seurat), [Vincent van Gogh](/artist/vincent-van-gogh), and [Paul Cézanne](/artist/paul-cezanne)—who in the late 1880s sought to break free from [Impression​​ism](/gene/impressionism). Though all markedly different,​​ these four artists—as well as other artists associated with the movement—were united both in their rejection of Impression​​ism’s emphasis on optical perception​​ and in their preference​​ for painting that expressed emotion and symbolism,​​ often through reduced colors and forms and an increased focus on subjective​​ imagery.",FALSE
4d90d192dcdd5f44a5000063,pointillism,Pointillism,Styles and Movements,"The application of small dots of paint to canvas to form an image. One of the techniques associated with [George Seurat](/artist/georges-seurat), who also employed divisionism, in which colors are separated into individual dots or patches that interact optically. Such scientific approaches were a hallmark of Neo-Impressionism, which attempted to provide more rigor to the process of painting optical effects. ",FALSE
4d90d192dcdd5f44a5000069,purism,Purism,Styles and Movements,"A European movement founded by [Amédée Ozenfant](/artist/amedee-ozenfant) and Charles-Edouard Jeanneret (later known as [Le Corbusier](/artist/le-corbusier)) after World War I that sought to purify [Cubism](/gene/cubism) from what Ozenfant and Jeanneret saw as its often arbitrary and fantastic forms. Instead, they emphasized clarity, elemental forms, and subdued colors.
",FALSE
4d90d192dcdd5f44a500006b,romanticism,Romanticism,Styles and Movements,"An artistic movement with its origins in literature, Romanticism was prominent in Western European art from roughly 1800-1850, embracing emotional intensity, subjectivity, and the imagination. Arising in Germany, England, and France, and opposing the rationalism and order of the church, state, Enlightenment thought, and [Neoclassical](/gene/neoclassicism) art, Romanticism was associated with some of the best known Western artists of the 19th century, including [Théodore Géricualt](/artist/jean-louis-andre-theodore-gericault), [Eugène Delacroix](/artist/eugene-delacroix), [Francisco de Goya](/artist/francisco-de-goya), [J.M.W. Turner](/artist/joseph-mallord-william-turner), and John Constable. The unpredictability, sublime power and chaos of nature were a common subject for Romantic works, as were exotic experiences in regions like what was called “The Orient” (the East) and North Africa, particularly Morocco and Algeria. Many of what we consider to be the major aspects of modern and contemporary art—including personal, emotional subjects, and the individuality of the artist—find their beginnings in Romanticism.",FALSE
4d90d190dcdd5f44a5000045,fluxus,Fluxus,Styles and Movements,"An international group of artists working between the 1960s and early 1970s who renounced traditional forms of music and theater and instead explored the mundane and chance aspects of sound, film, and performance, evoking the rebelliousness of [Dada](/gene/dada). Although the American artist and composer [George Maciunas](/artist/george-maciunas) in 1962 published a manifesto explaining the movement’s experimental aspects under the rubric Neo-Dada, Fluxus resisted a formal agenda, spreading largely through spontaneous protean events referred to as happenings.",FALSE
4d90d191dcdd5f44a5000050,kinetic-sculpture,Kinetic Sculpture,Medium and Techniques,"Sculptures that include moving parts. [Marcel Duchamp](/artist/marcel-duchamp)'s 1913 _Bicycle Wheel_ is generally considered the first such work. Although they were made throughout the 20th century&mdash;by artists associated with [Constructivism](/gene/constructivism) and the [Bauhaus](/gene/bauhaus), for example&mdash;and continue to be made today, kinetic sculptures’ heyday was during the 1950s and 1960s, when [Alexander Calder](/artist/alexander-calder) and [Jean Tinguely](/artist/jean-tinguely) were the best-known practitioners. Calder became famous for his mobiles and Tinguely for his 1960 _Homage to New York_, a kind of junk machine that destroyed itself in the sculpture garden of the Museum of Modern Art.",FALSE
4d90d191dcdd5f44a500005b,new-york-school,New York School,Styles and Movements,"A loose association of vanguard artists working in New York City during the 1940s and ’50s. At the center of the New York School were artists like [Jackson Pollock](/artist/jackson-pollock), [Willem de Kooning](/artist/willem-de-kooning), and [Mark Rothko](/artist/mark-rothko), who were associated with [Abstract Expressionism](/gene/abstract-expressionism) and helped establish a uniquely American avant-garde and propel New York City to eclipse Paris as the center of the art world. These artists created stylistically diverse, often monumental paintings that introduced bold innovations in form and content and reflected a desire to embrace spontaneity and individual expression. The New York School also encompasses the poets, filmmakers, composers, and photographers such as [Aaron Siskind](/artist/aaron-siskind) who formed close relationships, collaborated, and shared inspiration with New York School painters.",FALSE
4d90d18fdcdd5f44a500002c,art-deco,Art Deco,Styles and Movements,"Used since the 1960s to refer to a highly decorative style of design, characterized by streamlined geometric forms and bright colors, that was influential in Europe and the United States in the 1920s and 1930s. With roots in [Art Nouveau](/gene/art-nouveau), it was originally promoted by the 1925 Paris Exposition Internationale des Arts Décoratifs et Industriels Modernes, but one could also argue that it emerged from such 20th-century avant-garde movements as [Cubism](/gene/cubism), [Fauvism](/gene/fauvism), and [Constructivism](/gene/constructivism).",FALSE
4d90d18edcdd5f44a500000d,glass-as-material,Glass as Material,Materials,"_""All the effects of glass are marvelous… it must be used and kept in mind as an example of the life of man and of the things of this world which, though beautiful, are transitory and frail."" —Vannoccio Biringuccio_

Glass—a hard, transparent material based in silica—is occasionally found in nature, but most often man-made. Since the invention of the glass-blowing process in first-century Syria, a wide array of techniques and uses for the malleable material have been developed around the world. Notable historical examples include Byzantine mosaics, Medieval stained glass, and [Art Nouveau](/gene/art-nouveau) glass in the late-19th century. Modern and contemporary artists have used glass to various optical and conceptual ends; [Marcel Duchamp](/artist/marcel-duchamp), [Robert Smithson](/artist/robert-smithson), and [Larry Bell](/artist/larry-bell), for instance, continued to explore the potential of the material, while glass has been integral to pioneering works by architects and engineers since the industrial revolution. Capitalizing on advancements in glass and structural engineering, [Joseph Paxton](/artist/joseph-paxton)'s _Crystal Palace_, [Mies Van der Rohe](/artist/mies-van-der-rohe)'s _Seagram Building_, Phillip Johnson's _Glass House_, and [I.M. Pei](/artist/i-dot-m-pei)'s Pyramide at the Louvre each have shown the ability of glass to be the primary building material.",TRUE
4d90d18edcdd5f44a5000011,performance-art,Performance Art,Medium and Techniques,"A genre of art-making in which the artwork is the artist performing—usually live but often in a film or video. Performances started occurring in art contexts—galleries, artists studios, museums—in the 1960s, with the rise of [Happenings](/gene/happenings) and [Fluxus](/gene/fluxus). In the '60s and '70s, artists such as [Vito Acconci](/artist/vito-hannibal-acconci), [Bruce Nauman](/artist/bruce-nauman), [Marina Abramovic](/artist/marina-abramovic-1), [Chris Burden](/artist/chris-burden), and [Yoko Ono](/artist/yoko-ono) explored the possibilities of performance particularly in works which focused on the body (and often the abuse of it). The rise of performance was directly linked to the rise of [Conceptual Art](/gene/conceptual-art) and [Process Art](/gene/process-art) in the late 1960s: Conceptual Art privileged an object-less art, while Process Art foregrounded the act of making a work over the final piece.
",FALSE
4d90d190dcdd5f44a5000031,ashcan-school,Ashcan School,Styles and Movements,"First applied in the 1930s to early twentieth century American urban realist painters such as the Eight, whose members included [George Luks](/artist/george-benjamin-luks), [Robert Henri](/artist/robert-henri), [John Sloan](/artist/john-sloan), and [William Glackens](/artist/william-james-glackens). Ashcan artists presented ordinary aspects of [city life](/gene/city-scenes) with a particular vitality in opposition to the late nineteenth century aesthetic, which stressed refined painting techniques, appropriate subject matter, and art for art’s sake. Generally considered revolutionary in the [United States](/gene/united-states), the movement had clear precedents in the French nineteenth century avant-garde.",FALSE
4d90d191dcdd5f44a5000059,neo-expressionism,Neo-Expressionism,Styles and Movements,"A style of painting—and, to a lesser extent, sculpture—that emerged in the early 1980s, characterized by a return to figuration in expressive, gestural, and sometimes brashly aggressive works. Though most closely associated with a group of New York-based artists that included [Julian Schnabel](/artist/julian-schnabel), [David Salle](/artist/david-salle), and [Eric Fischl](/artist/eric-fischl), the term is also often used—not without controversy—to encompass trends in European painting at the time, including the Italian Transavanguardia and the generation of German painters born during World War II ([Georg Baselitz](/artist/georg-baselitz), [Markus Lüpertz](/artist/markus-lupertz), [A.R. Penck](/artist/a-r-penck), and [Anselm Kiefer](/artist/anselm-kiefer)), as well as the German [New Fauves](/gene/the-new-fauves). Neo-Expressionism signaled a break away from the intellectual distance, abstraction, and formalism of [Conceptual art](/gene/Conceptual art), the predominant movement of the 1970s. ",FALSE
4d90d192dcdd5f44a500005f,outsider-art,Outsider Art,Styles and Movements,"A label applied to artworks that have little connection with the art world or are created by people with no formal art training. The term is also applied to artworks by people with psychiatric disabilities and others on the margins of society. However, as more and more examples have been exhibited and subsumed into the historical canon, some have argued that the ‘outsider’ label should be retired.",TRUE
4d90d190dcdd5f44a5000034,bauhaus,Bauhaus,Styles and Movements,"A school of art, architecture, and design founded in Germany by Walter Gropius and based between 1919 and 1925 in Weimar, between 1925 and 1932 in Dessau, and between 1932 and 1933 in Berlin, where it was shut down by the Nazis. Named after the medieval Bauhütten, or masons’ lodges, and inspired by the ideas of John Ruskin and William Morris, the Bauhaus is best known for reintroducing workshop training in lieu of traditional studio art education; unifying artistic creativity and manufacturing; emphasizing functionalism in architecture; and revolutionizing streamlined industrial design. After the closure of the Bauhaus, many former students and teachers fled the Nazi dictatorship, spreading the tenets of the school to many parts of the world. [Josef Albers](/artist/josef-albers), for example, helped to mold the fledgling graphic design program at Yale while [Laszlo-Moholy Nagy](/artist/laszlo-moholy-nagy) founded the Institute of Design at IIT in Chicago, often dubbed the “New Bauhaus,” where a generation of prominent American photographers—from [Aaron Siskind](/artist/aaron-siskind) to [Harry Callahan](/artist/harry-callahan)—imparted new vigor to experiments in modernist photography. The so-called “Ulm Bauhaus” (Ulm School of Design, Germany) operated from 1953-1968 under the direction of former Bauhaus student [Max Bill](/artist/max-bill), and its innovative curriculum in design education remains influential even today.",FALSE
4d90d191dcdd5f44a500004c,hudson-river-school,Hudson River School,Styles and Movements,"The first homegrown American artistic school and the dominant American artistic movement of the 19th century, holding sway between approximately 1825 and 1870. The name derives from the fact that many, although not all, the members were inspired by the natural beauty of the Hudson River Valley and the surrounding area. The school’s style is romantic, celebrating nature and its contemplation through plein air painting.",FALSE
4d90d18fdcdd5f44a5000016,work-on-paper,Work on Paper,Medium and Techniques,"Includes manuscripts, prints, drawings, collages, and paintings on paper. With its invention in China in the 2nd century, paper has served as the support for an extraordinarily diverse body of work. When paper production was firmly established in Europe in the 15th century, the material was used widely for [manuscripts](gene/manuscript) and [prints](gene/prints). During this time artists like [Leonardo da Vinci](artist/leonardo-da-vinci) developed [drawings](gene/drawing) on paper to explore ideas in preparation for creating paintings and sculptures. At the outset of the 20th century, paper would become not only the support, but also the medium itself, as [Pablo Picasso](artist/pablo-picasso) and [Georges Braque](artist/georges-braque) explored [collage](gene/collage), layering numerous fragments of paper onto paper to create dense compositions. Contemporary works on paper show an inventive amalgamation of materials and techniques, featuring drawing over prints and interspersed collage elements with painting.
",FALSE
